Student ID,Name,Age,Gender,Branch,Average GPA,Backlogs,Attendance (%),Clubs,Skills,Internship Done,Internship Domain,Placement Status,Placement Domain,CTC (LPA),Alumni Path,Sem1 GPA,Sem2 GPA,Sem3 GPA,Sem4 GPA,Sem5 GPA,Sem6 GPA,Sem7 GPA,Sem8 GPA
46e349aa-76d4-4385-82b4-139a2008b32c,Kavya,18,Female,EEE,6.92,0,75.32,"Literary Society, Sports Club","Web Development, Data Science, SQL",Yes,Consulting,Not Placed,,0,,5.12,5.48,6.98,7.29,7.48,6.7,9.53,6.77
c163c40d-c257-4c67-bf3c-2c9f289b8ca3,Ramya,21,Female,CSE,6.9,3,76.78,"Sports Club, Literary Society, Robotics","Machine Learning, Python",Yes,Software,Placed,Higher Studies,7.21,Higher Studies,5.8,6.67,6.53,6.35,8.77,7.4,5.74,7.92
da39a452-3fed-4e75-a8ad-f5d1e23378bc,Anita,21,Female,CIVIL,6.84,1,64.56,Cultural Club,"Web Development, SQL",Yes,Hardware,Placed,Hardware,14.49,Research,7.69,6.56,6.15,6.36,7.7,6.37,6.88,7.02
3b72c86d-92fa-475f-a6fd-0cb116e6e5c0,Miranda Zuniga,22,Female,MECH,6.94,0,85.02,"Literary Society, Cultural Club","Machine Learning, Data Science, C++",No,,Not Placed,,0,,7.61,6.14,6.08,5.86,6.92,8.21,6.03,8.68
7d3c2acf-2efe-4192-bee5-74494b3b8444,Suresh,19,Male,CSE,6.89,1,60.43,"Entrepreneurship Cell, Cultural Club, Sports Club","SQL, Web Development, Java",Yes,Software,Not Placed,,0,,6.37,7.84,6.12,7.67,6.21,5.8,5.85,9.26
ad409244-cd35-46ef-9c37-07394a629c5e,Parker Davis,23,Female,IT,6.91,1,96.08,Coding Club,"SQL, C++",No,,Not Placed,,0,,6.71,5.83,7.34,5.03,7.62,7.02,8.9,6.8
d3018cc8-4d38-4068-a91b-41710aaf9e1c,Pooja,23,Female,EEE,6.76,0,79.06,"Coding Club, Entrepreneurship Cell, Sports Club","Machine Learning, C++, Web Development, SQL, Python",No,,Placed,Core Engineering,8.41,Higher Studies,6.46,5.65,5.87,6.94,6.93,7.33,6.91,7.98
bf303c93-4f7e-4cf4-877e-4785f8aa1d26,Divya,19,Female,MECH,6.53,2,97.96,Coding Club,"Web Development, SQL, Java",No,,Not Placed,,0,,7.41,7.92,5.07,6.18,6.57,6.19,5.45,7.42
60053cac-074d-4100-83cb-9ae38505147b,Priya,20,Female,CSE,6.71,1,85.04,Entrepreneurship Cell,"Web Development, Java, C++",Yes,Research,Not Placed,,0,,5.59,7.5,5.96,8.28,6.74,7.13,7.41,5.07
bf11858a-0877-4089-bbc9-97ac5aa9f4b0,Ramya,18,Female,IT,7.43,2,83.41,"Cultural Club, Sports Club","Machine Learning, Java, Web Development, SQL",No,,Placed,Research,15.34,Startup,6.89,8.53,6.38,8.44,7.26,8.23,7.22,6.52
1f3cea1d-2271-47ca-b887-73ed4af715b7,Denise Rose,22,Female,EEE,6.54,1,86.95,"Entrepreneurship Cell, Literary Society","Web Development, Data Science",No,,Placed,Core Engineering,15.4,Job,7.18,5.66,6.04,5.82,6.46,6.82,5.83,8.47
9ee8cd8e-f660-4018-a217-2c7bf66b5dea,Pooja,22,Female,CIVIL,7.45,1,95.82,"Cultural Club, Entrepreneurship Cell, Robotics","SQL, Java",No,,Placed,Consulting,5.76,Higher Studies,7.81,8.13,6.97,5.58,6.88,8.46,8.54,7.21
a5c5650c-8186-4576-91a7-26095eddbbbf,Samuel Short,18,Female,IT,6.98,0,85.61,"Sports Club, Cultural Club, Coding Club","Python, C++, Java, SQL, Web Development",No,,Placed,Core Engineering,7.61,Job,5.37,8.58,5.56,5.78,5.98,9.08,7.49,7.97
713b7bd8-ecea-4668-8c31-a7deab2ec2d0,Rakesh,22,Male,CIVIL,7.66,1,64.73,Coding Club,"Machine Learning, SQL",No,,Placed,Core Engineering,15.93,Startup,6.46,8.24,6.41,7.08,7.83,7.45,8.35,9.49
0a820385-4cd1-44b3-a9e9-ff9b7726b007,Anil,18,Male,ECE,7.34,0,83.29,"Coding Club, Cultural Club","C++, SQL",No,,Not Placed,,0,,8,6.33,8.39,6.75,7.29,7.26,6.87,7.81
12b2102d-940c-4503-b7c8-6152beed0af9,Gregory Brown,23,Male,EEE,6.82,1,87.49,Literary Society,"Web Development, SQL",No,,Not Placed,,0,,6.37,7.73,6.8,6.54,7.04,5.25,7.49,7.38
09294329-0450-46e9-a6fc-935a61a1b56a,Anita,22,Female,ECE,7.63,2,78.97,Coding Club,"Web Development, Machine Learning, Python, Data Science",Yes,Software,Not Placed,,0,,7.54,7.85,9.57,6.38,7.02,7.08,7.7,7.88
93d3e232-90c1-4270-bf6c-4a5e69726acd,Priya,23,Female,CSE,7.09,2,69.36,"Cultural Club, Robotics","Python, SQL, Java, Web Development, Data Science",No,,Placed,Hardware,3.85,Research,8.89,6.84,7.7,6.16,7.31,5.7,7.45,6.64
2477f047-8336-4758-99f9-3502a55bc44f,Daniel Davenport,22,Female,IT,7.03,1,61.78,"Coding Club, Robotics","Python, Data Science, Web Development, SQL, C++",No,,Not Placed,,0,,5.94,7.31,7.41,7.35,8.5,6.91,6.97,5.83
c2baf0e0-2179-43f0-a612-4ab4f9b21e6e,Justin Flores,18,Male,EEE,6.66,0,97.74,"Entrepreneurship Cell, Cultural Club","Web Development, Python, Data Science, Machine Learning, SQL",Yes,Higher Studies,Placed,Consulting,17.81,Startup,5.86,7.72,6.2,5.94,6.99,6.87,7.25,6.43
5e1ce083-3e88-4611-968b-663a0101b9bd,Sonal,22,Female,EEE,6.53,0,75.72,"Entrepreneurship Cell, Sports Club, Coding Club","C++, Data Science, Java, Machine Learning",No,,Not Placed,,0,,7.45,5.13,5.84,6.72,6.7,5.79,7.39,7.25
7b4e9ecd-de07-47b1-b8ae-8d5dfe268e77,Ronald Burke,22,Male,CIVIL,7.53,3,77.5,"Cultural Club, Sports Club","SQL, Data Science, Python",No,,Not Placed,,0,,5.82,7.46,8.6,7.46,6.3,7.99,9.37,7.24
317304b5-c1dd-484a-aca5-8d95915a1c30,Scott Prince,20,Female,MECH,7.15,0,79.02,"Coding Club, Entrepreneurship Cell","Python, Web Development, Machine Learning, C++",No,,Placed,Core Engineering,15.87,Research,8.16,7.05,4.83,6.49,8.79,7.3,7.69,6.91
56082672-f232-472f-bea0-d84d37fd1e7a,Priya,21,Female,ECE,6.84,2,95.25,Cultural Club,"Web Development, SQL, Data Science, Python",Yes,Core Engineering,Placed,Higher Studies,8.58,Research,8.23,6.82,5.99,6.02,6.7,6.7,7.91,6.33
d7fa2d8d-fb2c-4025-adf4-e62d6651529e,Teresa Wilson,20,Male,MECH,7.74,3,86.8,Cultural Club,"C++, Python, SQL, Web Development",No,,Not Placed,,0,,7.22,8.95,7.69,8.29,7.8,7.93,7.04,7.01
ea4f4a80-dc41-4176-9b59-f28ea9de5b26,John Proctor,21,Female,EEE,7.5,3,90.54,"Coding Club, Literary Society, Entrepreneurship Cell","Web Development, Machine Learning, Python",Yes,Software,Not Placed,,0,,8.12,7.68,7.19,8.52,7.42,8.3,7.61,5.16
fc618045-9449-4b77-814e-888e8cc8b919,Rahul,23,Male,MECH,7.13,0,86.02,Cultural Club,"Java, Python, Web Development, Data Science, Machine Learning",No,,Placed,Core Engineering,6.61,Job,5.99,6.66,6.97,6.63,6.84,7.41,8.24,8.31
d024ffeb-1ab4-4f04-b211-e54703896994,Pooja,21,Female,ECE,7.23,2,89,"Cultural Club, Sports Club","Machine Learning, Java",Yes,Software,Not Placed,,0,,7.83,7.25,6.54,7.86,7.9,7.06,7.44,5.97
9591f52f-5f95-474c-be22-4ffd427ab8a5,Sonal,21,Female,ECE,6.72,0,84.32,"Entrepreneurship Cell, Sports Club","Machine Learning, C++, Data Science, Web Development, SQL",Yes,Software,Not Placed,,0,,7.89,7.13,5.97,6.8,5.01,8.3,6.18,6.47
adbbe85f-c36a-4d82-845d-a30d5498c23d,Sonal,23,Female,ECE,6.88,1,60.96,"Literary Society, Robotics, Cultural Club","SQL, Java",No,,Placed,Higher Studies,8.7,Startup,7.32,7.13,6.67,5.99,6.21,7.1,5.89,8.77
8a94a11e-d032-40c1-abaf-2ec6fff785e4,Rakesh,21,Male,CIVIL,7.41,0,84.97,Coding Club,"Java, Machine Learning, SQL, Data Science",No,,Placed,Higher Studies,17.1,Higher Studies,8.67,8.76,6.86,6.65,5.49,7,8.95,6.87
ee4205ee-a52f-43ec-ab4e-2281b184d1fc,Ms. Katherine Taylor MD,18,Male,CIVIL,7.02,3,67.19,Cultural Club,"Web Development, Python, C++, SQL",Yes,Core Engineering,Placed,Consulting,4.7,Research,6.63,6.67,7.17,6.12,5.56,8.37,8.46,7.18
5c508720-f982-44e0-8603-156a15eacbcf,Joseph Romero,22,Male,IT,6.4,1,85.66,Coding Club,"SQL, Web Development, Data Science, Java, Machine Learning",No,,Not Placed,,0,,6.54,6.31,5.85,5.25,6.61,7.16,6.9,6.58
d2d3e316-189e-46e2-b704-b1079ad0107d,Divya,20,Female,EEE,6.61,0,71.33,"Robotics, Sports Club","Machine Learning, Python, Data Science, Java",No,,Not Placed,,0,,7.8,6.15,6.18,8.12,5.12,6.85,7.44,5.25
e97aa4d3-b749-4c3b-bbd4-98e6d6d72555,Anita,18,Female,CIVIL,6.48,0,90.07,"Entrepreneurship Cell, Literary Society","C++, Web Development",Yes,Consulting,Placed,Hardware,18.41,Research,6.83,6.14,5.76,7.17,6.82,6.56,7.08,5.48
18e214db-b595-468c-90ff-5ccd68c9b9cb,Suresh,19,Male,EEE,7.54,1,89.69,"Entrepreneurship Cell, Sports Club","SQL, Python",No,,Placed,Core Engineering,13.93,Higher Studies,6.72,6.8,6.65,9.63,9.06,7.3,7.42,6.76
5275eb94-14ae-4f5c-a636-58c912d0498d,Ana Hill,23,Male,CIVIL,6.94,2,92,"Cultural Club, Sports Club, Coding Club","SQL, Data Science, Python, Java",Yes,Higher Studies,Not Placed,,0,,5.48,6.64,7.89,7.58,7.5,7.05,7.01,6.34
83599af6-5d01-455f-a7fd-64c4a334058a,Meghan Cisneros,21,Female,EEE,6.61,0,73.57,"Sports Club, Literary Society, Coding Club","SQL, Java, Data Science",No,,Not Placed,,0,,8.43,6.42,4.74,5.82,7.22,6.02,6.91,7.34
e5ee7127-0257-40a3-b7e1-e57774dbb993,Ramya,22,Female,CSE,7.52,1,75.66,"Entrepreneurship Cell, Robotics, Coding Club","Data Science, Web Development, Machine Learning, Python",Yes,Consulting,Not Placed,,0,,8.71,7.82,8.77,6.6,7.25,7.81,4.67,8.51
e4ee0371-ffdf-4e5e-bf86-5b5c1523dd80,Ramya,20,Female,MECH,7.45,1,97.24,"Coding Club, Robotics, Sports Club","Python, Java",No,,Placed,Research,12.4,Job,9.1,6.54,6.72,6.56,7.24,7.59,8.09,7.76
948f664a-9565-457b-a267-d32fddcbf4bc,Andrea Preston,18,Female,ECE,7.31,1,70.19,Robotics,"SQL, Python, Java, Data Science, Machine Learning",No,,Placed,Software,16.13,Startup,6.66,8.16,7.65,7.37,7.62,6.43,6.29,8.27
0f32dcaf-3195-403f-a653-71abf497ae71,Siddharth,23,Male,EEE,6.7,2,94.74,Sports Club,"Machine Learning, Data Science",Yes,Consulting,Not Placed,,0,,5.37,6.5,7.35,8.39,5.77,7.79,6.94,5.48
c72372f6-9c88-4ed9-81e9-5629533fc717,Anita,21,Female,EEE,6.97,2,75.45,"Literary Society, Entrepreneurship Cell","Java, Data Science, Machine Learning, Web Development, SQL",Yes,Higher Studies,Not Placed,,0,,6.69,8.03,7.29,6.27,6.8,6.62,6.91,7.15
d296c8ac-5078-47c3-b18e-c2efb4f6ed3a,Ramya,22,Female,CIVIL,7.14,0,61.4,"Coding Club, Literary Society","C++, Python, Machine Learning",No,,Not Placed,,0,,5.52,8.06,6.47,6.61,5.88,7.38,9.46,7.78
b3edd6ed-b089-4de4-a626-7164d3616b3a,Susan Larson,21,Female,CSE,6.77,1,63.96,"Entrepreneurship Cell, Literary Society","Java, SQL",Yes,Higher Studies,Placed,Consulting,15.89,Research,7.92,5.9,6.25,5.71,7.37,6.68,6.64,7.67
7702beba-0623-4fbf-9e42-d2b800679b62,Bailey Charles,21,Female,ECE,7.58,1,94.59,"Sports Club, Coding Club, Robotics","C++, Web Development, Python, Data Science, SQL",No,,Placed,Core Engineering,18.74,Research,7.78,7.92,5.78,9.5,7.28,7.4,7.5,7.5
